code,name,city,country,timezone
AAA,Anaa,,PF,Pacific/Tahiti
AAB,Arrabury Airport,Tanbar,AU,Australia/Brisbane
AAC,El Arish International Airport,Arish,EG,Africa/Cairo
AAD,Adado Airport,Adado,SO,Africa/Khartoum
AAE,Les Salines Airport,El Hadjar,DZ,Africa/Algiers
AAF,Apalachicola Regional,Apalachicola,US,America/New_York
AAG,Arapoti,Jaguariaiva,BR,America/Sao_Paulo
AAH,Aachen/Merzbruck,,DE,Europe/Berlin
AAI,Arraias,Campos Belos,BR,America/Araguaina
AAJ,Cayana Airstrip,Kajana,SR,America/Paramaribo
AAK,Aranuka,,KI,Pacific/Tarawa
AAL,Aalborg Airport,Vadum,DK,Europe/Copenhagen
AAM,Mala Mala,,ZA,Africa/Johannesburg
AAN,Al Ain Airport,,AE,Asia/Dubai
AAO,Anaco,Anaco,VE,America/Caracas
AAP,Aji Pangeran Tumenggung Pranoto International Airport,,ID,Asia/Jakarta
AAQ,Anapa Airport,Anapa,RU,Europe/Moscow
AAR,Aarhus Airport,Ebeltoft,DK,Europe/Copenhagen
AAS,Apalapsili,,ID,Asia/Jayapura
AAT,Altay Airport,Awiytan,CN,Asia/Urumqi
AAU,Asau,Asau,WS,Pacific/Apia
AAV,Allah Valley,Surallah,PH,Asia/Manila
AAW,Abbottabad,Abbottabad,PK,Asia/Karachi
AAX,Araxa Airport,Araxa,BR,America/Sao_Paulo
AAY,Al Ghaydah,Al Ghayzah,YE,Asia/Aden
AAZ,Quetzaltenango,Olintepeque,GT,America/Guatemala
ABA,Abakan Airport,Podsineye,RU,Asia/Krasnoyarsk
ABB,Asaba International Airport,Asaba,NG,Africa/Lagos
ABC,Los Llanos,,ES,Europe/Madrid
ABD,Abadan Airport,Abadan,IR,Asia/Tehran
ABE,Lehigh Valley International Airport,Catasauqua,US,America/New_York
ABF,Abaiang,Buota Village,KI,Pacific/Tarawa
ABG,Abingdon,,AU,Australia/Brisbane
ABH,Alpha,,AU,Australia/Brisbane
ABI,Abilene Regional Airport,,US,America/Chicago
ABJ,Felix Houphouet Boigny Airport,Abidjan,CI,Africa/Abidjan
ABK,Kabri Dar,,ET,Africa/Addis_Ababa
ABL,Ambler Airport,,US,America/Anchorage
ABM,Northern Peninsula Airport,,AU,Australia/Brisbane
ABN,Albina,,SR,America/Paramaribo
ABO,Aboisso,Aboisso,CI,Africa/Abidjan
