passID,fid,bookingDate,seatNumber,class,price,paymentStatus,checkInStatus
8818,1052,2025-03-02,33F,Business,979.31,Pending,Not Checked-in
9670,3394,2025-03-31,3B,Business,611.87,Cancelled,Not Checked-in
4370,4743,2025-04-25,17F,Business,293.41,Paid,Not Checked-in
2672,3914,2025-02-10,25A,Business,1413.53,Cancelled,Checked-in
1834,4356,2025-02-13,10A,Business,1343.4,Cancelled,Not Checked-in
7161,4677,2025-03-23,9D,Business,620.66,Pending,Checked-in
2673,1830,2025-01-27,23B,Business,140.23,Paid,Checked-in
9384,727,2025-03-26,43F,Business,563.8,Cancelled,Not Checked-in
6530,375,2025-04-13,6B,Economy,94.03,Pending,Not Checked-in
2133,623,2025-03-26,34F,Economy,883.17,Cancelled,Checked-in
260,210,2025-04-02,12B,First,343.22,Pending,Checked-in
5784,1899,2025-01-24,46C,First,1026.28,Paid,Not Checked-in
3749,621,2025-03-22,24A,Business,763.23,Pending,Checked-in
9435,1532,2025-01-09,26D,First,788.58,Pending,Checked-in
2073,2363,2025-01-30,10B,Economy,1366.82,Paid,Not Checked-in
6129,116,2025-02-22,7B,Economy,626.76,Paid,Checked-in
2492,251,2025-04-24,23A,Business,907.79,Pending,Not Checked-in
7863,4146,2025-04-02,24C,Economy,1166.94,Cancelled,Checked-in
9544,2910,2025-01-02,9C,Economy,167.74,Paid,Not Checked-in
5482,3163,2025-01-19,22D,Business,1009.13,Paid,Checked-in
7502,4465,2025-03-23,6C,First,856.79,Cancelled,Checked-in
43,3840,2025-03-20,2C,First,954.52,Cancelled,Not Checked-in
2688,1050,2025-04-08,47E,Economy,865.45,Cancelled,Not Checked-in
3165,1271,2025-02-22,46A,First,472.8,Pending,Checked-in
1764,3128,2025-02-18,4C,Business,243.6,Paid,Not Checked-in
521,2706,2025-03-23,27B,First,604.5,Paid,Not Checked-in
2141,4774,2025-03-09,1B,First,876.67,Pending,Checked-in
8437,678,2025-04-30,40C,First,852.3,Cancelled,Checked-in
837,418,2025-04-30,12A,Economy,1360.26,Pending,Checked-in
9929,3240,2025-04-12,44D,Economy,1190.18,Paid,Not Checked-in
3909,4680,2025-02-14,45D,Business,1018.53,Cancelled,Checked-in
5422,3683,2025-04-21,9A,Economy,226.99,Cancelled,Checked-in
6009,4885,2025-01-22,18B,Business,451.54,Paid,Not Checked-in
3726,3595,2025-03-14,12E,First,1469.49,Paid,Not Checked-in
960,4792,2025-01-05,29A,Economy,966.13,Cancelled,Not Checked-in
6265,46,2025-02-06,43D,Economy,1264.58,Cancelled,Not Checked-in
8185,592,2025-04-04,8C,First,1119.84,Paid,Checked-in
