pilotID,fid,role
238,3841,Captain
707,3743,First Officer
734,2078,First Officer
298,643,Captain
84,3819,Captain
526,1978,Captain
447,4427,Captain
16,3277,Captain
320,4552,Captain
71,4528,Captain
680,1732,First Officer
436,2617,Captain
301,1796,Captain
33,590,First Officer
46,4993,Captain
607,3743,First Officer
290,1351,First Officer
952,2056,First Officer
230,2296,Captain
567,2118,First Officer
665,722,First Officer
561,4798,Captain
552,1392,Captain
251,2845,Captain
5,3325,Captain
822,227,First Officer
249,3341,Captain
72,1451,First Officer
31,1053,Captain
204,3526,Captain
708,1642,First Officer
260,776,Captain
175,1048,Captain
814,4131,Captain
73,1462,Captain
813,994,First Officer
563,1912,Captain
492,893,Captain
214,4800,First Officer
404,2779,First Officer
46,713,First Officer
544,4757,Captain
373,1687,First Officer
650,2717,Captain
55,3130,First Officer
17,4963,First Officer
718,2717,First Officer
112,761,Captain
897,446,Captain
379,296,Captain
864,2000,First Officer
125,2821,Captain
373,989,Captain
815,418,Captain
648,4942,Captain
471,4853,First Officer
587,411,Captain
864,4864,Captain
764,454,First Officer
38,3399,Captain
102,2066,First Officer
427,4376,First Officer
844,2235,Captain
682,1722,Captain
494,2388,Captain
210,1934,First Officer
508,989,First Officer
945,4161,Captain
678,3509,Captain
208,1328,Captain
633,1986,Captain
478,2782,First Officer
269,2467,First Officer
147,124,Captain
722,993,Captain
265,2025,First Officer
363,85,Captain
345,137,First Officer
128,2527,First Officer
705,3686,First Officer
151,1132,Captain
987,3240,First Officer
667,4839,Captain
227,2402,Captain
920,2753,Captain
893,3620,First Officer
75,3118,First Officer
664,4123,Captain
178,2054,First Officer
598,2996,Captain
81,668,Captain
773,157,Captain
102,4180,Captain
857,291,Captain
437,364,First Officer
318,3393,Captain
482,905,First Officer
419,923,First Officer
824,3511,Captain
978,830,First Officer
562,509,Captain
753,1354,First Officer
880,3801,First Officer
807,1613,First Officer
241,3674,Captain
23,877,First Officer
958,2039,First Officer
482,2092,Captain
776,2472,First Officer
884,2927,First Officer
301,3022,Captain
122,2773,Captain
982,3011,Captain
191,4409,Captain
695,1833,Captain
722,2297,Captain
798,1591,First Officer
355,3567,First Officer
374,2714,First Officer
516,673,First Officer
502,3303,Captain
996,3547,Captain
459,688,First Officer
5,320,First Officer
976,1547,Captain
140,4390,Captain
668,522,Captain
748,4077,First Officer
178,875,First Officer
382,342,First Officer
160,4941,First Officer
269,1977,Captain
93,1468,First Officer
200,3781,Captain
725,4232,First Officer
193,755,Captain
149,1488,First Officer
562,4082,First Officer
431,901,Captain
757,3824,First Officer
87,396,Captain
572,3597,First Officer
967,2473,First Officer
359,3111,Captain
107,1006,First Officer
788,1265,First Officer
449,3815,Captain
147,4147,First Officer
469,1568,Captain
811,4574,First Officer
446,2255,First Officer
878,4530,Captain
34,4548,First Officer
190,1169,Captain
228,1945,Captain
729,4341,Captain
745,3412,First Officer
608,3557,Captain
92,4072,Captain
140,3801,First Officer
100,1111,Captain
880,1227,Captain
574,2540,First Officer
962,832,Captain
72,440,First Officer
787,4249,First Officer
352,1057,Captain
742,56,First Officer
316,4463,First Officer
732,1152,First Officer
558,3615,First Officer
675,3817,First Officer
976,1666,First Officer
701,2147,First Officer
223,1823,Captain
977,1075,First Officer
192,20,Captain
43,4411,First Officer
163,765,Captain
183,4044,Captain
570,264,Captain
884,2004,Captain
420,266,Captain
788,3584,Captain
307,3028,Captain
62,455,Captain
276,4231,Captain
25,4799,Captain
555,3981,First Officer
17,2396,Captain
246,3819,Captain
13,3896,First Officer
594,188,First Officer
917,3428,First Officer
58,2175,Captain
666,3101,Captain
485,497,Captain
128,2288,First Officer
141,1177,Captain
798,294,First Officer
241,3749,First Officer
870,435,Captain
276,4602,First Officer
808,4640,First Officer
877,2744,Captain
218,2096,Captain
225,4975,First Officer
591,1400,Captain
547,4072,First Officer
9,3787,Captain
444,4855,Captain
365,3711,Captain
6,2645,First Officer
105,1368,Captain
433,4135,Captain
2,2773,Captain
757,4414,First Officer
770,4436,Captain
48,1706,Captain
567,3339,First Officer
19,1400,First Officer
837,1206,Captain
848,2418,First Officer
6,4489,Captain
921,3120,First Officer
599,3190,First Officer
359,4500,Captain
655,321,First Officer
807,2215,First Officer
675,2044,First Officer
426,934,First Officer
895,432,Captain
165,4071,Captain
86,2952,First Officer
98,3561,Captain
638,2548,First Officer
695,3341,First Officer
862,1575,Captain
87,1014,First Officer
817,4318,Captain
625,2913,First Officer
328,3450,First Officer
502,4249,Captain
869,45,First Officer
22,1244,First Officer
141,2990,Captain
971,4755,Captain
495,4100,First Officer
181,2756,Captain
779,4225,First Officer
706,853,First Officer
161,2288,Captain
591,280,First Officer
58,4145,Captain
879,1756,Captain
463,3160,First Officer
168,4702,First Officer
368,3248,First Officer
685,747,First Officer
310,2451,Captain
878,2352,First Officer
73,1585,Captain
914,769,Captain
241,4899,First Officer
485,4257,First Officer
528,3787,Captain
92,1529,First Officer
965,3800,Captain
50,787,First Officer
266,2321,First Officer
562,3318,Captain
73,1414,First Officer
318,396,Captain
644,137,First Officer
761,157,Captain
458,4243,First Officer
778,3298,First Officer
194,2608,Captain
15,4681,First Officer
907,3958,First Officer
256,3686,First Officer
855,2846,Captain
112,2563,Captain
159,904,First Officer
132,4665,Captain
873,2584,Captain
904,4461,Captain
714,3319,First Officer
844,833,First Officer
49,2313,Captain
334,4262,Captain
193,1925,Captain
216,1282,Captain
929,2377,First Officer
586,2790,First Officer
484,1462,First Officer
948,2170,Captain
770,4216,Captain
222,895,Captain
216,1189,Captain
662,4418,Captain
371,3463,First Officer
154,3131,First Officer
909,3030,First Officer
759,3563,First Officer
194,621,First Officer
163,2769,First Officer
14,2659,First Officer
937,219,First Officer
186,3470,Captain
910,4363,First Officer
104,3564,Captain
395,921,Captain
894,4698,Captain
872,2673,Captain
89,2649,Captain
321,1064,Captain
34,349,Captain
812,2835,Captain
