passID,aid,membershipNumber,tier,points
5135,13,453996,Gold,56407
170,14,590315,Gold,97160
3774,10,740212,Silver,93425
8065,15,331338,Platinum,7201
69,10,222287,Silver,12197
2164,1,600371,Diamond,42188
1050,22,684305,Silver,35396
2542,22,549245,Platinum,88635
9454,3,208111,Diamond,69732
7782,22,232623,Gold,60972
9148,8,589539,Platinum,5880
5063,8,581206,Silver,70790
9496,16,855510,Gold,83788
5069,22,671356,Diamond,24575
2302,22,475905,Silver,80835
5018,21,379527,Silver,17598
3413,1,314316,Platinum,79321
3729,25,835694,Platinum,93502
210,2,418197,Diamond,77508
7831,3,445010,Platinum,44736
6729,12,486711,Silver,16070
1209,12,764195,Gold,38631
3108,18,234816,Gold,5373
8057,25,700184,Diamond,32897
4913,16,717345,Silver,47296
2331,25,685662,Diamond,59615
9865,21,324783,Silver,43356
4100,9,285309,Diamond,47956
2155,15,602207,Platinum,37662
4862,15,916202,Platinum,37891
242,1,616615,Diamond,72858
2808,15,281470,Diamond,92401
8804,9,847317,Diamond,55637
1864,4,684915,Platinum,49163
724,15,836187,Platinum,46519
2126,3,743490,Gold,77258
9765,25,434780,Diamond,3393
1175,25,571093,Diamond,90249
1602,25,892658,Diamond,28813
5845,5,199425,Platinum,66331
8055,5,237813,Silver,79458
4696,2,867887,Diamond,37357
2077,20,804685,Gold,75340
8209,22,847613,Diamond,22106
9972,15,386227,Gold,15187
8942,6,681896,Platinum,78234
8182,6,873503,Platinum,50199
8079,24,185615,Gold,24827
5096,8,819845,Diamond,28372
9593,13,427437,Silver,29837
2354,15,105646,Silver,82323
5799,5,618896,Diamond,13327
2048,17,743268,Diamond,71067
8328,5,734948,Silver,52052
1644,20,512075,Platinum,87312
8977,9,516091,Diamond,94360
4827,7,513488,Platinum,17930
9440,17,245787,Platinum,62790
6540,4,800210,Platinum,31736
856,11,411604,Diamond,59953
9011,9,817974,Gold,60256
1849,6,466657,Silver,78385
4652,21,949351,Silver,76191
7310,6,620605,Silver,9248
3033,6,510924,Platinum,94395
1241,6,125639,Diamond,65667
3398,11,458687,Silver,97968
8207,11,521460,Silver,40735
1259,15,994834,Gold,96033
9630,6,297243,Platinum,34913
